LAJI;pohj_etrs;ita_etrs;VAKAV_A;VV
JK;6675786.73;25501661.91;1;2022
JK;6674533.32;25502790.94;2;2022
JK;6679536.47;25506837.81;2;2022
JK;6675297.68;25498807.13;2;2022
JK;6674924.21;25495525.13;2;2022
JK;6677507.6;25504331.38;2;2022
JK;6677954.06;25504834.46;1;2022
JK;6674040.25;25497548.25;2;2022
JK;6677559.38;25505001.39;2;2022
JK;6682334.12;25500677.1;2;2022
JK;6681507.62;25500113.23;1;2022
JK;6675933.67;25496881.48;1;2022
JK;6681189.31;25501815.85;2;2022
JK;6672992.48;25497330.33;1;2022
JK;6679796.12;25501228.04;1;2022
JK;6681105.29;25504168.18;2;2022
JK;6672903.27;25496336.69;2;2022
JK;6672078.06;25495978.67;1;2022
JK;6681441.96;25494351.68;2;2022
JK;6675530.18;25496111.91;2;2022
JK;6677474.01;25504192.32;2;2022
JK;6674910.3;25495247.18;2;2022
JK;6676697.05;25498181.12;1;2022
JK;6672072.71;25495319.41;2;2022
JK;6680498.93;25496003.79;3;2022
JK;6675194.61;25497828.15;2;2022
JK;6673215.93;25496932.09;2;2022
JK;6674850.54;25499072.38;2;2022
JK;6672544.99;25493869.46;2;2022
JK;6680593.95;25496056.24;2;2022
JK;6676631.32;25493437.22;2;2022
JK;6677671.15;25504493.74;2;2022
JK;6681033.75;25496340.2;2;2022
JK;6682241.69;25500435.29;2;2022
JK;6671748.31;25497233.02;2;2022
JK;6672524.84;25497111.5;2;2022
JK;6683678.99;25502351.96;2;2022
JK;6675387.59;25497736.94;2;2022
JK;6680881.96;25501157.56;2;2022
JK;6683472.97;25500538.95;2;2022
JK;6681541.31;25504597.13;3;2022
JK;6675826.97;25501976.84;2;2022
JK;6673235.45;25496658.22;2;2022
JK;6674097.73;25502891.27;2;2022
JK;6675460.49;25498031.88;2;2022
JK;6679066.04;25496540.85;3;2022
JK;6680628.43;25493652.18;2;2022
JK;6672464.38;25496367.45;2;2022
JK;6672762.79;25496937.17;2;2022
JK;6676799.19;25492999.29;2;2022
JK;6674970.62;25497795.29;2;2022
JK;6672158.03;25496075.56;1;2022
JK;6675747.62;25494682.35;2;2022
JK;6673093.04;25497265.62;2;2022
JK;6678141.89;25494368.93;3;2022
JK;6675575.99;25494742.01;2;2022
JK;6675458.83;25498038.43;2;2022
JK;6672361.58;25497006.53;2;2022
MA;6681089.13;25502814.79;2;2022
MA;6674940.6;25498667.21;1;2022
MA;6679981.37;25491953.23;2;2022
MA;6677871.28;25496839.25;1;2022
MA;6680339.83;25504662.75;1;2022
MA;6683659.55;25511387.95;1;2022
MA;6680341.96;25494435.39;1;2022
MA;6676121.57;25493588.33;1;2022
MA;6677347.41;25495158.4;1;2022
MA;6680972.08;25502684.77;1;2022
MA;6679152.53;25504361.04;1;2022
MA;6675558.29;25496887.95;1;2022
MA;6678942.86;25504430.97;2;2022
MA;6683319.57;25502258.98;1;2022
MA;6680000.28;25507342.97;1;2022
MA;6680838.11;25491762.62;1;2022
MA;6681048.17;25499475.01;1;2022
MA;6680265.66;25494451.13;1;2022
